cfg_file,solver,sp_iter,obj,ref_obj,residual
InequalityQP/100_3,IRWA,1,-1.5018282513084669,-1.5018273733525558,8.779559110827506e-07
InequalityQP/100_3,OSQP,317,-1.501827420060927,-1.5018273733525558,4.6708371170822716e-08
InequalityQP/200_1,ADAL,1,-1.9192782830047188,-1.9192772290824283,1.0539222905503465e-06
InequalityQP/200_1,IRWA,1,-1.9192772721633933,-1.9192772290824283,4.308096501759451e-08
InequalityQP/200_1,OSQP,463,-1.9192772362125021,-1.9192772290824283,7.1300738646584705e-09
InequalityQP/200_2,ADAL,1,-2.3802475860293124,-2.3802503736168177,2.78758750527075e-06
InequalityQP/200_2,IRWA,1,-2.3802512445757693,-2.3802503736168177,8.709589516264771e-07
InequalityQP/200_2,OSQP,343,-2.3802503637812946,-2.3802503736168177,9.835523062662332e-09
InequalityQP/200_3,ADAL,1,-2.1709372006888756,-2.1709375475119903,3.468231146719347e-07
InequalityQP/200_3,IRWA,1,-2.1709379300198046,-2.1709375475119903,3.8250781431159453e-07
InequalityQP/200_3,OSQP,346,-2.1709375595802527,-2.1709375475119903,1.2068262389419715e-08
EqualityQP/5_1,ADAL,4,-84.37756967721019,-84.37756960963331,6.757687742720009e-08
EqualityQP/5_1,IRWA,4,-84.37757095528877,-84.37756960963331,1.345655462614559e-06
EqualityQP/5_1,OSQP,731,-84.37757014611483,-84.37756960963331,5.364815223174446e-07
EqualityQP/5_2,ADAL,8,-78.57357543896566,-78.57357510991801,3.290476513484464e-07
EqualityQP/5_2,IRWA,6,-78.57357812059331,-78.57357510991801,3.0106753001746256e-06
EqualityQP/5_2,OSQP,745,-78.57357510479048,-78.57357510991801,5.1275321766297566e-09
EqualityQP/5_3,ADAL,23,135.05122306018495,135.05124564070215,2.2580517196502115e-05
EqualityQP/5_3,IRWA,23,135.0512435103496,135.05124564070215,2.1303525556959357e-06
EqualityQP/5_3,OSQP,9999,-102.24601065693828,135.05124564070215,237.29725629764044
EqualityQP/10_1,ADAL,7,-102.0036886673691,-102.00368844850708,2.1886202716814296e-07
EqualityQP/10_1,IRWA,7,-102.00369180185722,-102.00368844850708,3.353350138013411e-06
EqualityQP/10_1,OSQP,256,-102.00368510902892,-102.00368844850708,3.339478155339748e-06
EqualityQP/10_2,ADAL,5,-21.99270543816921,-21.99270515105281,2.8711639998846294e-07
EqualityQP/10_2,IRWA,5,-21.992708875495758,-21.99270515105281,3.7244429478278107e-06
EqualityQP/10_2,OSQP,298,-21.99270806272299,-21.99270515105281,2.911670179628345e-06
EqualityQP/10_3,ADAL,5,9.747812584915653,9.747812930294842,3.453791883600843e-07
EqualityQP/10_3,IRWA,5,9.747810489979612,9.747812930294842,2.4403152298901887e-06
EqualityQP/10_3,OSQP,50,9.747808901191013,9.747812930294842,4.029103829239489e-06
EqualityQP/50_1,ADAL,8,3.498834129603509,3.498836308012498,2.1784089891951908e-06
EqualityQP/50_1,IRWA,375,3.498820478261452,3.498836308012498,1.5829751045970397e-05
EqualityQP/50_1,OSQP,35,3.4987675373783347,3.498836308012498,6.877063416332874e-05
EqualityQP/50_2,ADAL,26,15.115436229002654,15.11543758814297,1.3591403167367844e-06
EqualityQP/50_2,IRWA,15,15.115428056063585,15.11543758814297,9.532079385365932e-06
EqualityQP/50_2,OSQP,59,15.11535855905585,15.11543758814297,7.902908712154044e-05
EqualityQP/50_3,ADAL,12,32.34055943720535,32.34056031271539,8.755100395774207e-07
EqualityQP/50_3,IRWA,356,32.34054778049666,32.34056031271539,1.2532218732985712e-05
EqualityQP/50_3,OSQP,73,32.340299738780416,32.34056031271539,0.00026057393497325165
EqualityQP/100_1,ADAL,16,26.459454210021008,26.45945615070315,1.940682142986816e-06
EqualityQP/100_1,IRWA,13,26.45944170364837,26.45945615070315,1.4447054780930557e-05
EqualityQP/100_1,OSQP,53,26.459314677438194,26.45945615070315,0.00014147326495717039
EqualityQP/100_2,ADAL,30,7.7298295569424695,7.729833448718409,3.891775939734998e-06
EqualityQP/100_2,IRWA,35,7.729820953351261,7.729833448718409,1.2495367148090963e-05
EqualityQP/100_2,OSQP,38,7.7298251918903205,7.729833448718409,8.256828088804014e-06
EqualityQP/100_3,ADAL,13,19.840907197620222,19.840907921494484,7.23874261865376e-07
EqualityQP/100_3,IRWA,13,19.840892366056806,19.840907921494484,1.555543767750578e-05
EqualityQP/100_3,OSQP,47,19.84085240779849,19.840907921494484,5.5513695993880674e-05
EqualityQP/200_1,ADAL,25,38.77376229286589,38.77376060542247,1.6874434223268509e-06
EqualityQP/200_1,IRWA,24,38.77373257113772,38.77376060542247,2.803428474607017e-05
EqualityQP/200_1,OSQP,53,38.77368062114356,38.77376060542247,7.99842789049876e-05
EqualityQP/200_2,ADAL,39,60.16259993994095,60.162595909763965,4.0301769814732324e-06
EqualityQP/200_2,IRWA,75,60.16256919751859,60.162595909763965,2.6712245372095822e-05
EqualityQP/200_2,OSQP,63,60.162523496594204,60.162595909763965,7.241316976092094e-05
EqualityQP/200_3,ADAL,32,32.8841735701241,32.88418408602014,1.0515896043727935e-05
EqualityQP/200_3,IRWA,301,32.884139184173634,32.88418408602014,4.490184650762785e-05
EqualityQP/200_3,OSQP,63,32.884096033806706,32.88418408602014,8.805221343521907e-05
MixedQP/5_1,ADAL,5,0.1132930064114053,0.11329330446656705,2.9805516174596924e-07
MixedQP/5_1,IRWA,4,0.11329023208390669,0.11329330446656705,3.072382660354589e-06
MixedQP/5_1,OSQP,174,0.11328815890443451,0.11329330446656705,5.1455621325330325e-06
MixedQP/5_2,ADAL,22,-0.1509520951168881,-0.15095191711470213,1.7800218596319972e-07
MixedQP/5_2,IRWA,228,-0.15096961493475944,-0.15095191711470213,1.7697820057310798e-05
MixedQP/5_2,OSQP,123,-0.15095344372444472,-0.15095191711470213,1.5266097425914449e-06
MixedQP/5_3,ADAL,11,-0.5404940846244225,-0.540500596193698,6.511569275446938e-06
MixedQP/5_3,IRWA,11,-0.540502655383004,-0.540500596193698,2.05918930606952e-06
MixedQP/5_3,OSQP,225,-0.5404850461727175,-0.540500596193698,1.5550020980414914e-05
MixedQP/10_1,ADAL,193,-1.4271091681887869,-1.4271115911733379,2.4229845509982084e-06
MixedQP/10_1,IRWA,30,-1.4271152090288897,-1.4271115911733379,3.6178555518073807e-06
